LINECODE,DOWNSEQUENCE,STATIONCODE,ISTRANSFERSTATION,TSCODE
1,1,125,1,10
1,2,124,1,9
1,3,123,1,8
1,4,122,1,7
1,5,121,0,0
1,6,120,1,6
1,7,119,1,5
1,8,118,0,0
1,9,117,0,0
1,10,116,0,0
1,11,115,1,4
1,12,114,1,3
1,13,113,0,0
1,14,112,0,0
1,15,111,1,2
1,16,110,1,1
1,17,109,0,0
1,18,108,0,0
1,19,107,0,0
1,20,106,0,0
1,21,105,0,0
1,22,104,0,0
1,23,103,0,0
2,1,218,0,0
2,2,217,1,18
2,3,216,0,0
2,4,215,1,17
2,5,214,1,16
2,6,213,0,0
2,7,212,1,15
2,8,211,1,6
2,9,210,0,0
2,10,209,1,14
2,11,208,0,0
2,12,207,0,0
2,13,206,1,13
2,14,205,0,0
2,15,204,1,3
2,16,203,0,0
2,17,202,1,12
2,18,201,1,11
4,1,421,0,0
4,2,423,0,0
4,3,425,1,19
4,4,427,0,0
4,5,429,0,0
4,6,431,0,0
4,7,433,1,20
4,8,435,0,0
4,9,437,0,0
4,10,439,1,21
4,11,441,0,0
4,12,443,1,11
4,13,445,0,0
4,14,447,1,22
4,15,449,0,0
4,16,451,0,0
4,17,453,1,4
4,18,455,1,13
4,19,457,1,23
4,20,459,0,0
4,21,461,1,24
4,22,463,0,0
4,23,465,1,25
4,24,467,1,26
5,1,521,0,0
5,2,523,0,0
5,3,525,0,0
5,4,527,1,27
5,5,529,0,0
5,6,531,0,0
5,7,533,1,28
5,8,535,0,0
5,9,537,1,29
5,10,539,0,0
5,11,541,0,0
5,12,543,1,17
5,13,545,0,0
5,14,547,0,0
5,15,549,1,30
5,16,551,0,0
5,17,553,1,5
5,18,555,1,14
5,19,557,1,31
5,20,559,0,0
5,21,561,1,32
5,22,563,0,0
5,23,565,1,33
6,1,677,0,0
6,2,675,0,0
6,3,673,0,0
6,4,671,0,0
6,5,669,0,0
6,6,667,0,0
6,7,665,0,0
6,8,663,0,0
6,9,661,0,0
6,10,659,0,0
6,11,657,0,0
6,12,655,0,0
6,13,653,0,0
6,14,651,0,0
6,15,649,1,38
6,16,647,1,37
6,17,645,0,0
6,18,643,1,15
6,19,641,1,30
6,20,639,1,36
6,21,637,0,0
6,22,635,1,22
6,23,633,1,12
6,24,631,0,0
6,25,627,1,35
6,26,625,0,0
6,27,623,1,34
6,28,621,0,0
7,1,761,0,0
7,2,759,0,0
7,3,757,0,0
7,4,755,0,0
7,5,753,0,0
7,6,751,0,0
7,7,749,0,0
7,8,747,0,0
7,9,745,1,40
7,10,743,0,0
7,11,741,0,0
7,12,739,0,0
7,13,737,1,31
7,14,735,0,0
7,15,733,0,0
7,16,731,0,0
7,17,729,1,23
7,18,727,0,0
7,19,725,0,0
7,20,723,0,0
7,21,721,1,39
8,0,839,1,36
8,0,837,0,0
8,1,811,0,0
8,1,809,0,0
8,1,807,0,0
8,1,805,1,41
8,2,813,1,42
8,3,815,0,0
8,4,817,0,0
8,5,819,0,0
8,6,821,0,0
8,7,823,0,0
8,8,825,1,43
8,9,827,0,0
8,10,829,1,44
8,11,831,0,0
8,12,833,0,0
8,13,835,1,18
9,1,921,1,21
9,2,923,1,35
9,3,925,0,0
9,4,927,1,2
9,5,929,1,39
9,6,931,0,0
9,7,933,1,45
9,8,935,1,46
9,9,937,0,0
9,10,939,0,0
9,11,941,0,0
9,12,943,0,0
9,13,945,1,47
10,1,1001,1,48
10,2,1003,0,0
10,3,1005,1,20
10,4,1007,0,0
10,5,1009,1,49
10,6,1011,0,0
10,7,1013,0,0
10,8,1015,0,0
10,9,1017,1,44
10,10,1019,0,0
10,11,1021,1,29
10,12,1023,1,50
10,13,1025,0,0
10,14,1027,0,0
10,15,1029,0,0
10,16,1031,0,0
10,17,1033,0,0
10,18,1035,1,37
10,19,1037,0,0
10,20,1039,1,7
10,21,1041,0,0
10,22,1043,1,51
13,1,1321,1,11
13,2,1323,0,0
13,3,1325,1,49
13,4,1327,0,0
13,5,1329,0,0
13,6,1331,1,52
13,7,1333,0,0
13,8,1335,0,0
13,9,1337,1,42
13,10,1339,1,27
13,11,1341,0,0
13,12,1343,1,53
13,13,1345,1,50
13,14,1347,0,0
13,15,1349,0,0
13,16,1351,1,16
14,1,1493,0,0
14,2,1491,0,0
14,3,1489,0,0
14,4,1487,1,56
14,5,1485,0,0
14,6,1483,0,0
14,7,1481,0,0
14,8,1479,0,0
14,9,1477,0,0
14,10,1475,0,0
14,11,1473,0,0
14,12,1471,1,38
14,13,1469,0,0
14,14,1467,1,8
14,15,1465,1,40
14,16,1463,0,0
14,17,1461,0,0
14,18,1459,0,0
14,19,1457,1,55
14,20,1455,0,0
14,21,1453,1,32
14,22,1451,0,0
14,23,1449,0,0
14,24,1447,0,0
14,25,1445,1,24
14,26,1433,1,54
14,27,1431,1,46
14,28,1429,0,0
14,29,1427,0,0
14,30,1425,0,0
14,31,1423,0,0
14,32,1421,0,0
15,1,1563,0,0
15,2,1561,0,0
15,3,1559,0,0
15,4,1557,0,0
15,5,1555,0,0
15,6,1553,0,0
15,7,1551,0,0
15,8,1549,0,0
15,9,1547,0,0
15,10,1545,0,0
15,11,1543,0,0
15,12,1541,1,56
15,13,1539,1,53
15,14,1537,0,0
15,15,1535,1,28
15,16,1533,0,0
15,17,1531,1,43
15,18,1529,0,0
15,19,1527,0,0
15,20,1525,0,0
16,1,1621,0,0
16,2,1623,0,0
16,3,1625,0,0
16,4,1627,0,0
16,5,1629,0,0
16,6,1631,0,0
16,7,1633,0,0
16,8,1635,0,0
16,9,1637,0,0
16,10,1639,1,19
84,1,8431,0,0
84,2,8429,0,0
84,3,8427,0,0
84,4,8425,0,0
84,5,8423,0,0
84,6,8421,0,0
85,1,8529,0,0
85,2,8527,0,0
85,3,8525,0,0
