STATIONCODE,STATIONNAME
103,苹果园
104,古城
105,八角游乐园
106,八宝山
107,玉泉路
108,五棵松
109,万寿路
110,公主坟
111,军事博物馆
112,木樨地
113,南礼士路
114,复兴门
115,西单
116,天安门西
117,天安门东
118,王府井
119,东单
120,建国门
121,永安里
122,国贸
123,大望路
124,四惠
125,四惠东
201,西直门
202,车公庄
203,阜成门
204,复兴门
205,长椿街
206,宣武门
207,和平门
208,前门
209,崇文门
210,北京站
211,建国门
212,朝阳门
213,东四十条
214,东直门
215,雍和宫
216,安定门
217,鼓楼大街
218,积水潭
421,安河桥北
423,北宫门
425,西苑
427,圆明园
429,北京大学东门
431,中关村
433,海淀黄庄
435,人民大学
437,魏公村
439,国家图书馆
441,动物园
443,西直门
445,新街口
447,平安里
449,西四
451,灵境胡同
453,西单
455,宣武门
457,菜市口
459,陶然亭
461,北京南站
463,马家堡
465,角门西
467,公益西桥
521,天通苑北
523,天通苑
525,天通苑南
527,立水桥
529,立水桥南
531,北苑路北
533,大屯路东
805,朱辛庄
807,育知路
809,平西府
811,回龙观东大街
813,霍营
815,育新
817,西小口
819,永泰庄
821,林萃桥
823,森林公园南门
825,奥林匹克公园
827,奥体中心
829,北土城
831,安华桥
833,安德里北街
835,鼓楼大街
837,什刹海
839,南锣鼓巷
921,国家图书馆
923,白石桥南
925,白堆子
927,军事博物馆
929,北京西站
931,六里桥东
933,六里桥
935,七里庄
937,丰台东大街
939,丰台南路
941,科怡路
943,丰台科技园
945,郭公庄
1001,巴沟
1003,苏州街
1005,海淀黄庄
1007,知春里
1009,知春路
1011,西土城
1013,牡丹园
1015,健德门
1017,北土城
1019,安贞门
1021,惠新西街南口
1023,芍药居
1025,太阳宫
1027,三元桥
1029,亮马桥
1031,农业展览馆
1033,团结湖
1035,呼家楼
1037,金台夕照
1039,国贸
1041,双井
1043,劲松
1321,西直门
1323,大钟寺
1325,知春路
1327,五道口
1329,上地
1331,西二旗
1333,龙泽
1335,回龙观
1337,霍营
1339,立水桥
1341,北苑
1343,望京西
8421,黄土店站
8423,昌平北站
8425,范各庄站
8427,怀柔北站
8429,黑山寺站
8431,古北口站
8523,北京西站
8525,北京站
8527,北京东站
8529,通州站
8921,香山
8923,植物园
8925,万安
8927,茶棚
8929,颐和园西门
8931,巴沟
9021,劲松
