LINECODE,STATIONCODE,DIRECTION,NEXTSTATIONCODE,PARKTIME
1,125,1,124,0
1,125,0,0,0
1,124,1,123,30
1,124,0,125,30
1,123,1,122,30
1,123,0,124,30
1,122,1,121,40
1,122,0,123,40
1,121,1,120,30
1,121,0,122,30
1,120,1,119,60
1,120,0,121,60
1,119,1,118,40
1,119,0,120,40
1,118,1,117,30
1,118,0,119,30
1,117,1,116,30
1,117,0,118,30
1,116,1,115,30
1,116,0,117,30
1,115,1,114,30
1,115,0,116,30
1,114,1,113,40
1,114,0,115,40
1,113,1,112,30
1,113,0,114,30
1,112,1,111,30
1,112,0,113,30
1,111,1,110,40
1,111,0,112,40
1,110,1,109,60
1,110,0,111,60
1,109,1,108,50
1,109,0,110,50
1,108,1,107,40
1,108,0,109,40
1,107,1,106,40
1,107,0,108,40
1,106,1,105,30
1,106,0,107,30
1,105,1,104,30
1,105,0,106,30
1,104,1,103,30
1,104,0,105,30
1,103,1,0,0
1,103,0,104,0
2,218,1,217,60
2,218,0,201,60
2,217,1,216,30
2,217,0,218,60
2,216,1,215,30
2,216,0,217,30
2,215,1,214,45
2,215,0,216,30
2,214,1,213,60
2,214,0,215,45
2,213,1,212,30
2,213,0,214,60
2,212,1,211,30
2,212,0,213,30
2,211,1,210,60
2,211,0,212,30
2,210,1,209,60
2,210,0,211,60
2,209,1,208,45
2,209,0,210,60
2,208,1,207,30
2,208,0,209,45
2,207,1,206,30
2,207,0,208,30
2,206,1,205,30
2,206,0,207,30
2,205,1,204,30
2,205,0,206,30
2,204,1,203,60
2,204,0,205,30
2,203,1,202,30
2,203,0,204,60
2,202,1,201,30
2,202,0,203,30
2,201,1,218,60
2,201,0,202,30
4,421,1,423,0
4,421,0,0,0
4,423,1,425,30
4,423,0,421,30
4,425,1,427,30
4,425,0,423,30
4,427,1,429,25
4,427,0,425,25
4,429,1,431,25
4,429,0,427,25
4,431,1,433,40
4,431,0,429,40
4,433,1,435,40
4,433,0,431,40
4,435,1,437,30
4,435,0,433,30
4,437,1,439,25
4,437,0,435,25
4,439,1,441,40
4,439,0,437,40
4,441,1,443,30
4,441,0,439,30
4,443,1,445,40
4,443,0,441,40
4,445,1,447,25
4,445,0,443,25
4,447,1,449,30
4,447,0,445,30
4,449,1,451,40
4,449,0,447,40
4,451,1,453,30
4,451,0,449,30
4,453,1,455,40
4,453,0,451,40
4,455,1,457,40
4,455,0,453,40
4,457,1,459,40
4,457,0,455,40
4,459,1,461,25
4,459,0,457,25
4,461,1,463,40
4,461,0,459,40
4,463,1,465,25
4,463,0,461,25
4,465,1,467,30
4,465,0,463,30
4,467,1,0,30
4,467,0,465,30
5,521,1,523,0
5,521,0,0,0
5,523,1,525,30
5,523,0,521,30
5,525,1,527,30
5,525,0,523,30
5,527,1,529,50
5,527,0,525,50
5,529,1,531,30
5,529,0,527,30
5,531,1,533,30
5,531,0,529,30
5,533,1,535,30
5,533,0,531,30
5,535,1,537,30
5,535,0,533,30
5,537,1,539,30
5,537,0,535,30
5,539,1,541,30
5,539,0,537,30
5,541,1,543,30
5,541,0,539,30
5,543,1,545,50
5,543,0,541,50
5,545,1,547,30
5,545,0,543,30
5,547,1,549,30
5,547,0,545,30
5,549,1,551,30
5,549,0,547,30
5,551,1,553,30
5,551,0,549,30
5,553,1,555,50
5,553,0,551,50
5,555,1,557,50
5,555,0,553,50
5,557,1,559,30
5,557,0,555,30
5,559,1,561,30
5,559,0,557,30
5,561,1,563,30
5,561,0,559,30
5,563,1,565,30
5,563,0,561,30
5,565,1,0,0
5,565,0,563,0
6,677,1,675,0
6,677,0,0,0
6,675,1,673,35
6,675,0,677,35
6,673,1,671,35
6,673,0,675,35
6,671,1,669,0
6,671,0,673,0
6,669,1,667,35
6,669,0,671,35
6,667,1,665,0
6,667,0,669,0
6,665,1,663,35
6,665,0,667,35
6,663,1,661,40
6,663,0,665,40
6,661,1,659,45
6,661,0,663,45
6,659,1,657,35
6,659,0,661,35
6,657,1,655,35
6,657,0,659,35
6,655,1,653,35
6,655,0,657,35
6,653,1,651,40
6,653,0,655,40
6,651,1,649,35
6,651,0,653,35
6,649,1,647,35
6,649,0,651,35
6,647,1,645,55
7,733,0,735,35
7,731,1,729,30
7,731,0,733,30
7,729,1,727,50
7,729,0,731,50
7,727,1,725,35
7,727,0,729,35
7,725,1,723,35
7,725,0,727,35
7,723,1,721,35
7,723,0,725,35
7,721,1,0,0
7,721,0,723,0
8,839,1,811,0
8,839,0,0,0
8,837,1,811,30
8,837,0,0,30
8,811,1,813,35
8,811,0,839,35
8,809,1,813,30
8,809,0,839,30
8,807,1,813,30
8,807,0,839,30
8,805,1,813,0
8,805,0,839,0
8,813,1,815,45
8,813,0,811,45
8,815,1,817,40
8,815,0,813,40
8,817,1,819,35
8,817,0,815,35
8,819,1,821,40
8,819,0,817,40
8,821,1,823,30
8,821,0,819,30
8,823,1,825,30
8,823,0,821,30
8,825,1,827,30
8,825,0,823,30
8,827,1,829,30
8,827,0,825,30
8,829,1,831,60
8,829,0,827,60
8,831,1,833,40
8,831,0,829,40
8,833,1,835,30
8,833,0,831,30
8,835,1,0,45
8,835,0,833,45
