TSCODE,TSTARTLINECODE,TENDLINECODE,TRANSFERTIME
16,2,13,240
16,13,2,210
17,2,5,180
17,5,2,180
18,2,8,130
18,8,2,160
19,4,16,180
19,16,4,180
20,4,10,90
20,10,4,90
21,4,9,45
21,9,4,45
22,4,6,200
22,6,4,200
23,4,7,110
23,7,4,45
24,4,14,45
24,14,4,180
25,4,90,170
25,90,4,170
26,4,93,0
26,93,4,0
27,5,13,210
27,13,5,210
28,5,15,180
28,15,5,240
29,5,10,120
29,10,5,90
30,5,6,300
30,6,5,180
31,5,7,70
31,7,5,70
32,5,14,247
32,14,5,247
33,5,90,125
33,5,96,240
50,10,13,230
50,13,10,230
51,10,90,0
51,90,10,0
52,13,94,240
52,94,13,240
53,13,15,540
53,15,13,540
54,14,90,180
54,90,14,60
55,14,90,70
55,90,14,70
56,14,15,100
56,15,14,100
57,92,95,8
57,95,92,8
1,1,90,180
1,90,1,180
2,1,9,180
2,9,1,360
3,1,2,180
3,2,1,90
4,1,4,240
4,4,1,240
5,1,5,180
5,5,1,180
6,1,2,180
6,2,1,90
7,1,10,260
7,10,1,260
8,1,14,240
8,14,1,270
9,1,97,90
9,97,1,90
10,1,97,90
10,97,1,90
11,2,4,60
11,2,13,360
11,4,13,60
11,4,2,240
11,13,2,360
11,13,4,240
12,2,6,200
12,6,2,200
13,2,4,90
13,4,2,90
14,2,5,180
14,5,2,180
15,2,6,240
15,6,2,240
33,90,96,225
33,90,5,125
33,96,5,360
33,96,90,315
34,6,90,150
34,90,6,120
35,6,9,169
35,9,6,144
36,6,8,180
36,8,6,180
37,6,10,120
37,10,6,120
38,6,14,50
38,14,6,150
39,7,9,50
39,9,7,50
40,7,14,84
40,14,7,104
41,8,94,20
41,94,8,20
42,8,13,300
42,13,8,300
43,8,15,240
43,15,8,240
44,8,10,240
44,10,8,90
45,9,90,60
45,90,9,60
46,9,14,60
46,14,9,60
47,9,95,60
47,95,9,60
48,10,90,0
48,90,10,0
49,10,13,260
49,13,10,260
